wavelength_nm,mean,std,min,max,n_pixels,class_name
1089.79,0.24375139668605994,0.07916696851411201,0.0566,0.5725,29391,forest
1095.23,0.24115775577557716,0.07838551334657001,0.056,0.5699,29391,forest
1100.67,0.23940890068388287,0.07791327486718887,0.0554,0.5697,29391,forest
1106.11,0.23709001735225102,0.07724101824809838,0.0548,0.5679,29391,forest
1111.55,0.23469711136062005,0.07654687996082625,0.0542,0.5659,29391,forest
1116.99,0.23165372733149653,0.07562371537840662,0.0536,0.5622,29391,forest
1122.43,0.22807450920349773,0.07453070584935281,0.053,0.5573,29391,forest
1127.87,0.22425060732877528,0.07337962004438592,0.0524,0.5519,29391,forest
1133.32,0.2194519002415717,0.07188962049505118,0.0518,0.5439,29391,forest
1138.76,0.212664621823007,0.06968308754022146,0.0512,0.5303,29391,forest
1144.2,0.20566456738457253,0.06739753174625449,0.0504,0.5159,29391,forest
1149.64,0.19962073083597054,0.06545965368521817,0.049,0.5041,29391,forest
1155.08,0.19473698411078197,0.06395734905442702,0.0479,0.4955,29391,forest
1160.52,0.1903556020550498,0.06263764407903137,0.047,0.4883,29391,forest
1165.96,0.1866675785104289,0.06154724634801761,0.0461,0.4827,29391,forest
1171.4,0.18370965601714662,0.06072271398630505,0.0455,0.4791,29391,forest
1176.84,0.18102897485624658,0.06000467540619405,0.045,0.4763,29391,forest
1182.28,0.17902367051138116,0.059512737772772856,0.0446,0.4751,29391,forest
1187.72,0.18293195195808254,0.0609702546701219,0.0454,0.4891,29391,forest
1193.16,0.18683979449491184,0.062436823592588925,0.0448,0.503,29391,forest
1198.6,0.18797638732945385,0.06262083415381296,0.0458,0.5051,29391,forest
1204.04,0.19203654179850896,0.06398053538062434,0.0464,0.5158,29391,forest
1209.48,0.1958206287639076,0.0651379618888484,0.047,0.5256,29391,forest
1214.92,0.20135141369807302,0.06685658969414411,0.0486,0.5366,29391,forest
1220.36,0.20354217957878298,0.06737967684182773,0.0501,0.5388,29391,forest
1225.8,0.20981119390289604,0.06920712774489128,0.0509,0.5513,29391,forest
1231.24,0.21269478071518488,0.06996909533101972,0.0522,0.5553,29391,forest
1236.69,0.2145010139158238,0.0703481627650357,0.0525,0.5576,29391,forest
1242.13,0.21591401109183023,0.07057416797316765,0.0526,0.5607,29391,forest
1247.57,0.2172675376816035,0.07088439313983776,0.0528,0.5593,29391,forest
1253.01,0.21745591847844478,0.07077602709363952,0.0535,0.5591,29391,forest
1258.45,0.21490611071416407,0.06978437803387329,0.0533,0.5536,29391,forest
1263.89,0.2175261236432911,0.07052688512252359,0.0528,0.5614,29391,forest
1269.33,0.23371946514239006,0.07574258889044437,0.0582,0.6015,29391,forest
1274.77,0.22573252015923287,0.07322559108745062,0.0516,0.5783,29391,forest
1280.21,0.22460508999353562,0.0726279510040582,0.0545,0.5755,29391,forest
1285.65,0.22105705147834415,0.07155909957572484,0.055,0.5682,29391,forest
1291.09,0.21590810452179254,0.06989022865586202,0.0538,0.5581,29391,forest
1296.53,0.2108989894865779,0.0683241270378764,0.0529,0.5492,29391,forest
1301.97,0.2045862202715123,0.0664394959950625,0.0517,0.5339,29391,forest
1307.41,0.19609260317784538,0.06392008554620722,0.0488,0.5184,29391,forest
1312.85,0.19140761797829264,0.06253044865770824,0.048,0.5108,29391,forest
1318.29,0.18010324929400165,0.059173577471959136,0.0444,0.4878,29391,forest
1323.73,0.16818593446973612,0.05548763177075918,0.0425,0.4604,29391,forest
1329.17,0.1586109353203363,0.05204631576001779,0.0385,0.4371,29391,forest
1334.61,0.15090299411384434,0.04946605390045873,0.0375,0.4171,29391,forest
1340.06,0.1458033411588577,0.04781012103187581,0.0364,0.4039,29391,forest
1345.5,0.1407791875063789,0.04619118489194239,0.0353,0.3909,29391,forest
1350.94,0.13397526793916625,0.043915280494539355,0.0341,0.3725,29391,forest
1356.38,0.12715629954748037,0.0416373996021906,0.0329,0.3541,29391,forest
1361.82,0.1207465958967036,0.03951860856822281,0.0317,0.3369,29391,forest
1367.26,0.11495233915144121,0.03763469001290666,0.0306,0.3218,29391,forest
1372.7,0.1093001497056918,0.035797009413231495,0.0295,0.307,29391,forest
1378.14,0.10189637303936576,0.03330371758651279,0.0284,0.2868,29391,forest
1383.58,0.09340467830288134,0.030407961815515402,0.0274,0.2632,29391,forest
1389.02,0.08525182538872496,0.027642018660547756,0.026,0.2404,29391,forest
1394.46,0.07743734476540444,0.02500946678220805,0.0234,0.2245,29391,forest
1399.9,0.06996066823177127,0.02251487209709818,0.021,0.2117,29391,forest
1405.34,0.0640890748868702,0.020605892039131657,0.0192,0.2011,29391,forest
1410.78,0.05877473376203587,0.01890375728200768,0.0175,0.1912,29391,forest
1416.22,0.05368366846993979,0.017289665670228636,0.0158,0.1815,29391,forest
1421.66,0.050288105202272844,0.016267013740030117,0.0148,0.1755,29391,forest
1427.1,0.047235633357150385,0.01536426038402693,0.0138,0.1702,29391,forest
1432.54,0.044633809669626545,0.014615017088919227,0.013,0.1652,29391,forest
1437.98,0.042963829063318464,0.014181318187260194,0.0124,0.1609,29391,forest
1443.43,0.041270933278895014,0.013743221383699218,0.0119,0.1567,29391,forest
1448.87,0.040434354053961785,0.013615324166203065,0.0116,0.1565,29391,forest
1454.31,0.03982815147494136,0.013584856578443364,0.0114,0.1578,29391,forest
1459.75,0.039235116192030996,0.013576831242972119,0.0111,0.1592,29391,forest
1465.19,0.03939898948657775,0.013867967354421633,0.0111,0.1618,29391,forest
1470.63,0.039296094042394085,0.014095918839186369,0.011,0.1642,29391,forest
1476.07,0.03883542921302459,0.014215144722734153,0.0107,0.1633,29391,forest
1481.51,0.03805302643666429,0.014241724862535797,0.0101,0.16,29391,forest
1486.95,0.04206750365758243,0.016380129761238458,0.0101,0.1799,29391,forest
1492.39,0.04608181416079726,0.018566760031748227,0.0089,0.1998,29391,forest
1497.83,0.04789328025586038,0.019347009991356953,0.008,0.2076,29391,forest
1503.27,0.05099367833690567,0.020394207279416453,0.0098,0.2135,29391,forest
1508.71,0.05229294001565089,0.020961679504693232,0.0105,0.2179,29391,forest
1514.15,0.057612602497363066,0.02298238687708584,0.0122,0.2367,29391,forest
1519.59,0.059871528699261836,0.023833686216788847,0.012,0.242,29391,forest
1525.03,0.06213561974754203,0.024666914031323928,0.013,0.2495,29391,forest
1530.47,0.0642144057704738,0.025433017578412046,0.0135,0.2519,29391,forest
1535.91,0.06766244428566578,0.02672634184249352,0.0143,0.2615,29391,forest
1541.35,0.07029290258922817,0.027690663317446896,0.0156,0.2679,29391,forest
